Quận,Loại_BDS,Pháp_lý,Số_tầng,Số_phòng,Diện_tích,Dài,Rộng,Giá
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 147 m2",21m,7m," 40 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,4," 325 m2",37m,8m," 47,9 tỷ "
"Quận Gò Vấp","Văn phòng","Sổ hồng/ Sổ đỏ",5,8," 100 m2",20m,5m," 11,7 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",7,18," 132 m2",26m,5m," 19,8 tỷ / m2  "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 70 m2",14m,5m," 8,4 tỷ / m2  "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 188 m2",47m,4m," 29 tỷ "
"Quận Tân Bình","Phòng trọ, nhà trọ","Sổ hồng/ Sổ đỏ",5,36," 200 m2",22m,9m," 23 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,6," 145 m2",37m,4m," 21,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 82 m2",17m,"4,8m"," 9,3 tỷ "
"Quận Gò Vấp","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 80 m2",20m,4m," 6,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,7," 80 m2",20m,4m," 12 tỷ "
"Quận Gò Vấp","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",5,5," 136 m2",17m,8m," 22,5 tỷ "
"Quận Tân Bình","Phòng trọ, nhà trọ","Sổ hồng/ Sổ đỏ",6,45," 200 m2",27m,"7,5m"," 27 tỷ "
"Quận Bình Thạnh","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",4,5," 120 m2",15m,8m," 14,5 tỷ "
"Quận 4","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,8," 80 m2",20m,4m," 27,5 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,6," 82 m2",16m,5m," 15,5 tỷ / m2  "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,6," 150 m2",30m,5m," 48 tỷ / m2  "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 100 m2",25m,4m," 4,75 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,4," 100 m2",25m,4m," 6,9 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,3," 105 m2",29m,"4,1m"," 12,5 tỷ / m2  "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,4," 108 m2",25m,"4,3m"," 13,5 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",8,6," 80 m2",20m,4m," 14 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",9,39," 188 m2",27m,7m," 43,5 tỷ / m2  "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 75 m2",12m,"6,2m"," 12,3 tỷ / m2  "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,8," 357 m2",47m,"8,5m"," 49,5 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 129 m2",30m,"4,3m"," 11,5 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 129 m2",30m,"4,3m"," 11,5 tỷ / m2  "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",8,53," 500 m2",50m,10m," 60 tỷ "
"Quận 1","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",10,100," 180 m2",20m,9m," 148 tỷ "
"Huyện Củ Chi","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,16," 400 m2",45m,9m," 8,4 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,6," 120 m2",30m,4m," 8,5 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 100 m2",20m,5m," 16,5 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,3," 80 m2",20m,4m," 14 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,8," 100 m2",22m,"4,5m"," 16,5 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,6," 125 m2",19m,"6,5m"," 12,6 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 188 m2",47m,4m," 29 tỷ "
"Quận Tân Bình","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",4,5," 140 m2",14m,10m," 12,8 tỷ "
"Quận 4","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,8," 80 m2",20m,4m," 25,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 112 m2",15m,"8,1m"," 9,5 tỷ / m2  "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 100 m2",25m,4m," 9,9 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 112 m2",15m,"8,1m"," 9,5 tỷ / m2  "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 100 m2",25m,4m," 9,9 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,8," 72 m2",18m,4m," 9,9 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,16," 155 m2",31m,5m," 14,5 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,5," 60 m2",15m,4m," 26 tỷ "
"Quận Bình Thạnh","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",3,4," 300 m2",30m,10m," 39 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,5," 120 m2",24m,5m," 22,5 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,9," 120 m2",20m,6m," 8,5 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 150 m2",26m,"5,5m"," 23 tỷ "
"Quận 1","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",8,10," 100 m2",18m,"5,5m"," 43 tỷ "
"Quận Bình Thạnh","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 281 m2",30m,9m," 34 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 80 m2",13m,6m," 8,6 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 80 m2",20m,4m," 10 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,10," 88 m2",22m,4m," 16 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 60 m2",12m,5m," 13 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,10," 88 m2",22m,4m," 16 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,8," 210 m2",21m,10m," 21 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,8," 101 m2",22m,"4,6m"," 25 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,50," 260 m2",26m,10m," 34 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 172 m2",20m,"8,6m"," 23,9 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Giấy tờ hợp lệ",1,2," 34 m2","8,4m",4m," 4,15 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,2,2," 60 m2",15m,4m," 3,7 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,2,2," 42 m2",11m,4m," 3 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 32 m2",9m,"3,5m"," 3,1 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,2," 18 m2",---,---," 2,4 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,2,2," 20 m2",4m,5m," 2,75 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 36 m2","10,5m",35m," 3,7 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,3,3," 48 m2",---,4m," 5,1 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 40 m2",---,4m," 4,15 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,2,2," 32 m2",9m,"3,5m"," 3,1 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 38 m2","8,5m","3,5m"," 3,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 20 m2",7m,3m," 1,75 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,2,2," 40 m2",10m,4m," 3,15 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 30 m2",6m,5m," 2,2 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,1,5," 105 m2",19m,4m," 5,8 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 60 m2",15m,4m," 4 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,2,2," 25 m2",5m,5m," 2,6 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,2,2," 27 m2",6m,5m," 2 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,5," 102 m2",---,6m," 5,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,2,2," 77 m2",---,4m," 5,6 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,1," 840 m2",54m,16m," 85,9 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 280 m2",110m,25m," 28 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",1,1," 850 m2",65m,14m," 14 tỷ "
"Quận Bình Thạnh","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",1,4," 185 m2","33,58m","5,57m"," 18,3 tỷ "
"Huyện Bình Chánh","Căn hộ chung cư","Sổ hồng/ Sổ đỏ",4,2," 50 m2",8m,6m," 1,75 tỷ "
"Thành phố Thủ Đức","Căn hộ chung cư","Giấy tờ hợp lệ",6,2," 56 m2","9,5m",6m," 1,85 tỷ "
